id territorio ;País ;Contiente;Ciudad;Latitud;Longitud
1;Argentina;América del Sur;Merlo;-34,66627;-58,72927
2;Argentina;América del Sur;Santa Fe;-31,64881;-60,70868
4;Argentina;América del Sur;La Plata;-34,92145;-57,95453
3;Argentina;América del Sur;Posadas;-27,36708;-55,89608
6;Argentina;América del Sur;Salta;-24,7859;-65,41166
5;Argentina;América del Sur;Pilar;-34,45866;-58,9142
7;Argentina;América del Sur;Córdoba;-31,4135;-64,18105
9;Argentina;América del Sur;Santiago del Estero;-27,79511;-64,26149
10;Argentina;América del Sur;Rosario;-32,94682;-60,63932
12;Argentina;América del Sur;Mar del Plata;-38,00042;-57,5562
13;Argentina;América del Sur;Mendoza;-32,89084;-68,82717
14;Argentina;América del Sur;Buenos Aires;-34,61315;-58,37723
15;Argentina;América del Sur;José C. Paz;-34,51541;-58,76813
19;Argentina;América del Sur;San Miguel de Tucumán;-26,82414;-65,2226
22;Argentina;América del Sur;Paraná;-31,73271;-60,52897
23;Argentina;América del Sur;Quilmes;-34,72904;-58,26374
25;Argentina;América del Sur;San Juan;-31,5375;-68,53639
24;Argentina;América del Sur;Resistencia;-27,46056;-58,98389
26;Argentina;América del Sur;Bahía Blanca;-38,71959;-62,27243
27;Argentina;América del Sur;San Salvador de Jujuy;-24,19457;-65,29712
