Id Venta;Id Prod;Id cliente ;Id territorio;Cod Pago ;Id vendedor ;Fecha Venta;Fecha Entrega;Fecha Pago ;Valor Unidad;Cantidad ;Costos Directos ;Costos Indirectos 
1;33;149;11;104;43;43668;43676;43700;331;111;14696,4;8817,84
2;5;4;9;101;87;43564;43583;43609;766;55;21065;8426
3;5;125;20;106;89;43277;43281;43305;617;19;5861,5;2930,75
4;25;212;15;104;49;43597;43603;43628;856;57;24396;12198
5;70;189;14;103;90;43445;43447;43450;128;31;1587,2;793,6
6;11;79;14;103;54;43119;43136;43164;151;112;8456;4228
7;53;194;8;105;3;43629;43645;43674;526;90;18936;9468
8;71;141;9;104;33;43111;43132;43161;142;114;8094;3237,6
9;78;153;1;103;32;43715;43730;43731;132;114;7524;4514,4
10;34;219;14;103;28;43543;43562;43569;661;5;1322;528,8
11;8;12;5;106;48;43586;43610;43629;966;50;19320;11592
12;59;277;10;102;80;43486;43496;43523;159;15;954;477
13;4;332;7;101;54;43362;43363;43390;135;85;4590;2754
14;86;99;8;101;41;43756;43773;43795;830;67;22244;13346,4
15;32;267;7;106;41;43669;43684;43694;102;56;2856;1142,4
16;9;210;16;102;25;43462;43476;43476;990;103;40788;24472,8
17;23;208;15;103;54;43497;43516;43521;759;84;31878;12751,2
18;17;245;15;101;41;43330;43355;43357;930;88;32736;19641,6
19;24;319;13;102;56;43429;43429;43446;727;59;17157,2;8578,6
20;90;200;7;104;21;43337;43358;43387;953;26;9911,2;4955,6
21;53;272;13;104;31;43504;43506;43510;797;73;23272,4;13963,44
22;18;283;1;105;69;43755;43775;43801;414;35;7245;2898
23;67;207;16;106;80;43363;43379;43383;148;60;4440;1776
24;86;325;16;101;39;43278;43304;43328;492;56;13776;5510,4
25;59;329;1;101;20;43131;43154;43162;969;12;5814;2907
26;15;307;17;101;18;43307;43324;43343;525;28;5880;2940
27;4;171;3;103;5;43699;43703;43723;923;95;35074;14029,6
28;42;269;13;101;102;43690;43710;43712;368;85;12512;7507,2
29;53;116;5;101;27;43569;43595;43601;899;87;31285,2;15642,6
30;71;146;7;104;23;43423;43429;43459;550;56;15400;7700
31;85;22;5;104;36;43168;43171;43178;858;24;8236,8;3294,72
32;71;239;18;103;98;43445;43456;43468;673;112;37688;22612,8
33;64;44;17;106;37;43165;43170;43171;983;14;6881;2752,4
34;86;239;4;101;54;43665;43687;43708;354;114;16142,4;9685,44
35;88;1;3;106;79;43771;43801;43805;148;67;4958;2974,8
36;38;200;17;102;29;43813;43817;43837;898;52;18678,4;11207,04
37;68;285;10;102;32;43286;43312;43333;628;45;11304;4521,6
38;6;208;19;106;101;43344;43374;43397;613;98;30037;12014,8
39;47;6;9;105;105;43681;43696;43701;831;2;664,8;398,88
40;23;273;2;105;68;43670;43699;43726;578;36;10404;5202
41;21;317;13;101;102;43444;43463;43465;114;57;3249;1299,6
42;81;288;19;102;23;43738;43741;43742;175;54;4725;2835
43;70;12;6;102;74;43817;43817;43821;88;36;1267,2;633,6
44;81;288;7;105;11;43144;43151;43176;207;74;6127,2;2450,88
45;45;14;20;104;16;43799;43824;43831;412;19;3131,2;1878,72
46;88;45;20;101;17;43608;43617;43627;735;20;5880;2940
47;22;267;7;106;44;43800;43830;43850;448;23;5152;2576
48;61;101;19;101;30;43315;43344;43352;426;7;1491;745,5
49;49;90;10;105;46;43318;43335;43340;489;21;4107,6;2053,8
50;26;100;4;101;49;43808;43813;43835;703;97;34095,5;17047,75
51;4;67;18;106;3;43145;43165;43183;658;93;30597;12238,8
52;58;297;15;103;32;43166;43195;43215;504;7;1764;1058,4
53;11;276;15;103;17;43383;43384;43410;127;59;3746,5;1873,25
54;92;180;3;102;21;43231;43241;43241;915;28;12810;7686
55;56;263;15;106;81;43443;43445;43461;249;82;10209;4083,6
56;57;131;20;106;62;43746;43751;43766;763;93;35479,5;17739,75
57;15;189;2;106;44;43599;43614;43642;205;18;1845;738
58;53;99;14;106;90;43394;43396;43413;810;102;41310;16524
59;33;280;10;102;12;43198;43204;43228;621;66;20493;12295,8
60;44;207;13;102;85;43744;43768;43781;177;106;7504,8;3001,92
61;87;196;6;103;74;43111;43119;43148;298;40;4768;1907,2
62;2;15;2;103;46;43186;43188;43202;957;106;40576,8;20288,4
63;71;303;20;104;19;43429;43444;43471;654;29;7586,4;3793,2
64;4;198;11;102;59;43476;43494;43523;311;13;2021,5;808,6
65;59;121;8;105;38;43174;43200;43204;217;19;2061,5;1236,9
66;54;271;7;106;60;43226;43230;43231;336;80;10752;4300,8
67;43;324;19;106;82;43362;43368;43377;434;115;19964;7985,6
68;41;28;9;104;96;43354;43367;43374;924;43;19866;7946,4
69;16;292;13;102;62;43236;43259;43272;438;47;8234,4;3293,76
70;82;248;3;105;70;43521;43546;43573;373;28;4177,6;2088,8
71;56;201;4;102;26;43733;43758;43780;96;3;115,2;69,12
72;76;312;10;102;84;43514;43530;43558;933;116;54114;21645,6
73;32;61;7;105;17;43334;43360;43373;25;32;320;192
74;90;301;9;106;76;43121;43126;43133;167;14;935,2;467,6
75;5;233;14;103;72;43489;43495;43499;467;91;21248,5;12749,1
76;43;329;20;103;19;43427;43434;43453;927;102;37821,6;22692,96
77;22;37;17;104;29;43563;43589;43598;1000;58;23200;11600
78;6;130;1;104;44;43626;43633;43662;928;90;33408;13363,2
79;91;98;6;102;51;43321;43330;43347;851;110;46805;28083
80;15;234;7;106;7;43319;43329;43342;617;54;16659;9995,4
81;65;331;20;106;75;43661;43669;43686;368;24;4416;2208
82;89;152;19;101;60;43351;43363;43374;799;75;23970;14382
83;84;172;5;105;3;43309;43313;43343;823;50;16460;9876
84;63;170;1;102;38;43496;43524;43541;96;67;2572,8;1029,12
85;78;146;8;104;41;43576;43586;43593;251;67;6726,8;4036,08
86;46;191;14;101;82;43675;43682;43694;159;27;2146,5;1073,25
87;92;227;18;102;10;43445;43448;43456;267;88;9398,4;5639,04
88;63;121;8;105;11;43479;43506;43529;836;46;19228;9614
89;43;36;9;102;65;43523;43540;43558;695;84;29190;14595
90;90;91;7;106;2;43197;43221;43250;376;103;19364;11618,4
91;53;180;14;102;6;43518;43520;43548;473;22;4162,4;2497,44
92;62;6;13;105;31;43634;43653;43677;258;59;7611;3044,4
93;29;100;6;105;74;43781;43800;43823;148;88;6512;3907,2
94;75;216;10;101;65;43169;43189;43204;318;101;12847,2;7708,32
95;1;31;20;103;17;43403;43416;43428;38;108;2052;820,8
96;41;323;17;105;54;43519;43542;43550;82;75;3075;1845
97;74;248;13;103;74;43807;43827;43841;568;25;5680;2840
98;34;313;6;103;94;43220;43238;43263;988;35;13832;5532,8
99;32;179;8;102;62;43531;43557;43585;669;106;35457;14182,8
100;43;303;1;106;6;43803;43825;43848;920;116;42688;21344
101;95;268;10;101;58;43291;43314;43342;506;73;14775,2;8865,12
